Biofilm;Replicate;SS_mgL;%MP;Size_um;Lower diamater cutoff;Upper diameter cutoff;Midpoint diameter;dN/dlogDp;dS/dlogDp;dV/dlogDp;Count;%sample;%area;%mass;ppm
0;1;10;0;1;1;2;1.5;82.44560462;582.773638;145.6934095;24.8186;0.0303777;0.0013459;1.93E-05;1.30E-05
0;1;10;0;2;2;3;2.5;1222.763703;24008.90917;10003.71215;215.318;0.263547;0.0467062;0.00267833;0.00180384
0;1;10;0;3;3;4;3.5;1487.160868;57232.65731;33385.71676;185.804;0.227422;0.0906842;0.0117005;0.00788022
0;1;10;0;4;4;5;4.5;1384.315158;88066.3252;66049.7439;134.154;0.164204;0.116402;0.0266999;0.0179822
0;1;10;0;5;5;6;5.5;991.1475749;94191.90368;86342.57838;78.4803;0.0960591;0.106398;0.0381334;0.0256826
0;1;10;0;6;6;7;6.5;861.6753741;114372.1453;123903.1574;57.6864;0.0706076;0.112619;0.0581223;0.039145
0;1;10;0;7;7;8;7.5;624.5987915;110375.7173;137969.6467;36.2217;0.044335;0.0962497;0.0676123;0.0455365
0;1;10;0;8;8;9;8.5;458.9607487;104174.9425;147581.1686;23.477;0.0287356;0.0814812;0.0747597;0.0503502
0;1;10;0;9;9;10;9.5;469.0969661;133002.4703;210587.2447;21.4647;0.0262726;0.0942854;0.109486;0.0737383
0;1;10;0;10;10;11;10.5;259.2801109;89804.4122;157157.7214;10.7323;0.0131363;0.0582009;0.0834372;0.0561944
0;1;10;0;11;11;12;11.5;230.7584569;95874.5149;183759.4869;8.72003;0.0106732;0.0572187;0.0992553;0.0668479
0;1;10;0;12;12;13;12.5;19.29606897;9471.935706;19733.19939;0.670772;0.000821018;0.00523808;0.0108135;0.0072828
0;1;10;0;13;13;14;13.5;41.68256013;23865.5691;53697.53047;1.34154;0.00164204;0.0122949;0.0297881;0.0200621
0;1;10;0;14;14;15;14.5;111.93255;73933.67174;178673.04;3.35386;0.00410509;0.035648;0.100166;0.0674614
0;1;10;0;15;15;16;15.5;167.5210069;126439.4342;326635.205;4.6954;0.00574713;0.0572915;0.1848;0.124462
0;1;10;0;16;16;17;16.5;76.42997013;65370.44645;179768.7277;2.01232;0.00246305;0.0279364;0.102528;0.0690517
0;1;10;0;9999;17;100;58.5;10.45968257;112455.3469;1096439.632;8.04926;0.00985222;0.0434268;0.0234762;0.276128
0;2;10;0;1;1;2;1.5;39.27947437;277.6502433;69.41256082;11.8243;0.0155993;0.000693709;9.87E-06;6.19E-06
0;2;10;0;2;2;3;2.5;1099.117588;21581.12337;8992.134739;193.545;0.255337;0.0454197;0.00258562;0.00162144
0;2;10;0;3;3;4;3.5;1643.757617;63259.20646;36901.20377;205.369;0.270936;0.108438;0.0138894;0.00871003
0;2;10;0;4;4;5;4.5;1200.866622;76395.83359;57296.87519;116.376;0.15353;0.109241;0.0248751;0.0155992
0;2;10;0;5;5;6;5.5;809.5376519;76932.93559;70521.85762;64.1002;0.0845649;0.0940158;0.0334504;0.0209767
0;2;10;0;6;6;7;6.5;734.377261;97475.57529;105598.5399;49.1642;0.0648604;0.103837;0.0532005;0.033362
